src_port,src_adrs,dst_adrs,Flow_Size,start_time,end_time,completion_time,completion_time[ms],[Mb/s]
57228,10.1.0.1,10.2.0.1,75458,1.8,1.884029,0.08402899999999991,84.02899999999991,0.0
57229,10.1.0.1,10.2.0.1,75458,2.0,2.084029,0.08402900000000013,84.02900000000014,0.0
57219,10.1.0.1,10.2.0.1,75458,0.0,0.084029,0.084029,84.02900000000001,0.0
57220,10.1.0.1,10.2.0.1,75458,0.2,0.284029,0.08402899999999996,84.02899999999997,0.0
57221,10.1.0.1,10.2.0.1,75458,0.4,0.484029,0.08402899999999996,84.02899999999997,0.0
57222,10.1.0.1,10.2.0.1,75458,0.6,0.684029,0.08402900000000002,84.02900000000002,0.0
57223,10.1.0.1,10.2.0.1,75458,0.8,0.884029,0.08402899999999991,84.02899999999991,0.0
57224,10.1.0.1,10.2.0.1,75458,1.0,1.084029,0.08402899999999991,84.02899999999991,0.0
57225,10.1.0.1,10.2.0.1,75458,1.2,1.284029,0.08402900000000013,84.02900000000014,0.0
57226,10.1.0.1,10.2.0.1,75458,1.4,1.484029,0.08402900000000013,84.02900000000014,0.0
57227,10.1.0.1,10.2.0.1,75458,1.6,1.684029,0.08402899999999991,84.02899999999991,0.0
57228,10.1.0.1,10.2.0.1,75458,1.8,1.884029,0.08402899999999991,84.02899999999991,0.0
57229,10.1.0.1,10.2.0.1,75458,2.0,2.084029,0.08402900000000013,84.02900000000014,0.0
59195,10.3.1.1,10.4.1.1,75458,0.0,0.084029,0.084029,84.02900000000001,0.0
59196,10.3.1.1,10.4.1.1,75458,0.2,0.284029,0.08402899999999996,84.02899999999997,0.0
59197,10.3.1.1,10.4.1.1,75458,0.4,0.484029,0.08402899999999996,84.02899999999997,0.0
59198,10.3.1.1,10.4.1.1,75458,0.6,0.684029,0.08402900000000002,84.02900000000002,0.0
59199,10.3.1.1,10.4.1.1,75458,0.8,0.884029,0.08402899999999991,84.02899999999991,0.0
59200,10.3.1.1,10.4.1.1,75458,1.0,1.084029,0.08402899999999991,84.02899999999991,0.0
59201,10.3.1.1,10.4.1.1,75458,1.2,1.284029,0.08402900000000013,84.02900000000014,0.0
59202,10.3.1.1,10.4.1.1,75458,1.4,1.484029,0.08402900000000013,84.02900000000014,0.0
59203,10.3.1.1,10.4.1.1,75458,1.6,1.684029,0.08402899999999991,84.02899999999991,0.0
59204,10.3.1.1,10.4.1.1,75458,1.8,1.884029,0.08402899999999991,84.02899999999991,0.0
59205,10.3.1.1,10.4.1.1,75458,2.0,2.084029,0.08402900000000013,84.02900000000014,0.0
59195,10.3.1.1,10.4.1.1,75458,0.0,0.084029,0.084029,84.02900000000001,0.0
59196,10.3.1.1,10.4.1.1,75458,0.2,0.284029,0.08402899999999996,84.02899999999997,0.0
59197,10.3.1.1,10.4.1.1,75458,0.4,0.484029,0.08402899999999996,84.02899999999997,0.0
59198,10.3.1.1,10.4.1.1,75458,0.6,0.684029,0.08402900000000002,84.02900000000002,0.0
59199,10.3.1.1,10.4.1.1,75458,0.8,0.884029,0.08402899999999991,84.02899999999991,0.0
59200,10.3.1.1,10.4.1.1,75458,1.0,1.084029,0.08402899999999991,84.02899999999991,0.0
59201,10.3.1.1,10.4.1.1,75458,1.2,1.284029,0.08402900000000013,84.02900000000014,0.0
59202,10.3.1.1,10.4.1.1,75458,1.4,1.484029,0.08402900000000013,84.02900000000014,0.0
59203,10.3.1.1,10.4.1.1,75458,1.6,1.684029,0.08402899999999991,84.02899999999991,0.0
59204,10.3.1.1,10.4.1.1,75458,1.8,1.884029,0.08402899999999991,84.02899999999991,0.0
59205,10.3.1.1,10.4.1.1,75458,2.0,2.084029,0.08402900000000013,84.02900000000014,0.0
57219,10.1.0.1,10.2.0.1,75458,0.0,0.083968,0.083968,83.968,0.0
57220,10.1.0.1,10.2.0.1,75458,0.2,0.283968,0.08396799999999999,83.96799999999999,0.0
57221,10.1.0.1,10.2.0.1,75458,0.4,0.483968,0.08396799999999999,83.96799999999999,0.0
57222,10.1.0.1,10.2.0.1,75458,0.6,0.683968,0.08396800000000004,83.96800000000005,0.0
57223,10.1.0.1,10.2.0.1,75458,0.8,0.883968,0.08396799999999993,83.96799999999993,0.0
57224,10.1.0.1,10.2.0.1,75458,1.0,1.083968,0.08396800000000004,83.96800000000005,0.0
57225,10.1.0.1,10.2.0.1,75458,1.2,1.283968,0.08396800000000004,83.96800000000005,0.0
57226,10.1.0.1,10.2.0.1,75458,1.4,1.483968,0.08396800000000004,83.96800000000005,0.0
57227,10.1.0.1,10.2.0.1,75458,1.6,1.683968,0.08396799999999982,83.96799999999982,0.0
57228,10.1.0.1,10.2.0.1,75458,1.8,1.883968,0.08396800000000004,83.96800000000005,0.0
57229,10.1.0.1,10.2.0.1,75458,2.0,2.083968,0.08396800000000004,83.96800000000005,0.0
57219,10.1.0.1,10.2.0.1,75458,0.0,0.083968,0.083968,83.968,0.0
57220,10.1.0.1,10.2.0.1,75458,0.2,0.283968,0.08396799999999999,83.96799999999999,0.0
57221,10.1.0.1,10.2.0.1,75458,0.4,0.483968,0.08396799999999999,83.96799999999999,0.0
57222,10.1.0.1,10.2.0.1,75458,0.6,0.683968,0.08396800000000004,83.96800000000005,0.0
57223,10.1.0.1,10.2.0.1,75458,0.8,0.883968,0.08396799999999993,83.96799999999993,0.0
57224,10.1.0.1,10.2.0.1,75458,1.0,1.083968,0.08396800000000004,83.96800000000005,0.0
57225,10.1.0.1,10.2.0.1,75458,1.2,1.283968,0.08396800000000004,83.96800000000005,0.0
57226,10.1.0.1,10.2.0.1,75458,1.4,1.483968,0.08396800000000004,83.96800000000005,0.0
57227,10.1.0.1,10.2.0.1,75458,1.6,1.683968,0.08396799999999982,83.96799999999982,0.0
57228,10.1.0.1,10.2.0.1,75458,1.8,1.883968,0.08396800000000004,83.96800000000005,0.0
57229,10.1.0.1,10.2.0.1,75458,2.0,2.083968,0.08396800000000004,83.96800000000005,0.0
59195,10.3.1.1,10.4.1.1,75458,0.0,0.083968,0.083968,83.968,0.0
59196,10.3.1.1,10.4.1.1,75458,0.2,0.283968,0.08396799999999999,83.96799999999999,0.0
59197,10.3.1.1,10.4.1.1,75458,0.4,0.483968,0.08396799999999999,83.96799999999999,0.0
59198,10.3.1.1,10.4.1.1,75458,0.6,0.683968,0.08396800000000004,83.96800000000005,0.0
59199,10.3.1.1,10.4.1.1,75458,0.8,0.883968,0.08396799999999993,83.96799999999993,0.0
59200,10.3.1.1,10.4.1.1,75458,1.0,1.083968,0.08396800000000004,83.96800000000005,0.0
59201,10.3.1.1,10.4.1.1,75458,1.2,1.283968,0.08396800000000004,83.96800000000005,0.0
59202,10.3.1.1,10.4.1.1,75458,1.4,1.483968,0.08396800000000004,83.96800000000005,0.0
59203,10.3.1.1,10.4.1.1,75458,1.6,1.683968,0.08396799999999982,83.96799999999982,0.0
59204,10.3.1.1,10.4.1.1,75458,1.8,1.883968,0.08396800000000004,83.96800000000005,0.0
59205,10.3.1.1,10.4.1.1,75458,2.0,2.083968,0.08396800000000004,83.96800000000005,0.0
59195,10.3.1.1,10.4.1.1,75458,0.0,0.083968,0.083968,83.968,0.0
59196,10.3.1.1,10.4.1.1,75458,0.2,0.283968,0.08396799999999999,83.96799999999999,0.0
59197,10.3.1.1,10.4.1.1,75458,0.4,0.483968,0.08396799999999999,83.96799999999999,0.0
59198,10.3.1.1,10.4.1.1,75458,0.6,0.683968,0.08396800000000004,83.96800000000005,0.0
59199,10.3.1.1,10.4.1.1,75458,0.8,0.883968,0.08396799999999993,83.96799999999993,0.0
59200,10.3.1.1,10.4.1.1,75458,1.0,1.083968,0.08396800000000004,83.96800000000005,0.0
59201,10.3.1.1,10.4.1.1,75458,1.2,1.283968,0.08396800000000004,83.96800000000005,0.0
59202,10.3.1.1,10.4.1.1,75458,1.4,1.483968,0.08396800000000004,83.96800000000005,0.0
59203,10.3.1.1,10.4.1.1,75458,1.6,1.683968,0.08396799999999982,83.96799999999982,0.0
59204,10.3.1.1,10.4.1.1,75458,1.8,1.883968,0.08396800000000004,83.96800000000005,0.0
59205,10.3.1.1,10.4.1.1,75458,2.0,2.083968,0.08396800000000004,83.96800000000005,0.0
